"subject","version","assignmentId","role","orderCond","s","c","p","oppType","choice","globalRound","matchNum","matchRound","score","rt","oppChoice","oppScore","stamp","id"
"A1HWTTN3JEUNZY","sp_v3_real2","3P59JYT76LLF9I9IZZB5MBLGB8M2TD","1","0","4","2","5","1","0","48","2","17","110","699","0","3","2017-06-21 18:21:58","9671"
"A36A510EEJ0NOC","sp_v3_real2","3F6HPJW4JD171ZDCU4GG9VSFF242W3","0","0","4","1","8","0","1","30","1","10","66","484","0","-108","2017-06-21 18:21:59","9672"
"AMDPJ713Z3IJL","sp_v3_real2","3EICBYG644XYTX5FKYM7WI7TPX8CJR","0","0","4","3","7","0","1","35","2","2","20","627","0","-100","2017-06-21 18:22:00","9673"
"A3EHI7J2E5DSJK","sp_v3_real2","3WAKVUDHUWH1VWLD5GIANYOQ52F7UP","0","1","4","4","5","1","1","12","1","2","118","1287","1","-16","2017-06-21 18:22:00","9674"
"AAXYYH9MI3PJM","sp_v3_real2","3SB4CE2TJVWBV2D6HO5HHWPK0S1XAX","0","0","4","4","6","2","0","5","0","5","116","351","0","-16","2017-06-21 18:22:01","9675"
"A9YN0N476F6PR","sp_v3_real2","39ASUFLU6X8ELFUIXT73DFFBL7ZXES","0","0","4","1","5","1","0","34","2","3","111","871","0","-45","2017-06-21 18:22:02","9676"
"A3DS068PGQ5RBN","sp_v3_real2","30BUDKLTXDW5JWA8RNO8LWORS8Q5ER","1","0","2","2","4","1","0","33","1","13","52","166","1","68","2017-06-21 18:22:02","9677"
"ALL5YYZDJ4FB2","sp_v3_real2","3LQ8PUHQFLTTFUWPO8F8V8P9PAOHIT","1","0","1","1","5","1","0","43","2","3","104","39662","1","-2","2017-06-21 18:22:03","9678"
"A3GEHH49HNJM57","sp_v3_real2","3NJM2BJS4W7UF88DFBRRTET5YWECPR","1","0","2","1","6","0","0","48","2","8","110","8593","0","-18","2017-06-21 18:22:04","9679"
"A22J1U3RTB7TG4","sp_v3_real2","323Q6SJS8IH953UZN09NSBCH9IWHF2","1","1","2","3","3","2","0","40","2","11","117","673","1","-3","2017-06-21 18:22:05","9680"
"A36A510EEJ0NOC","sp_v3_real2","3F6HPJW4JD171ZDCU4GG9VSFF242W3","0","0","4","1","8","0","1","31","1","11","70","966","0","-112","2017-06-21 18:22:07","9681"
"AAXYYH9MI3PJM","sp_v3_real2","3SB4CE2TJVWBV2D6HO5HHWPK0S1XAX","0","0","4","4","6","2","0","6","0","6","116","292","0","-16","2017-06-21 18:22:07","9682"
"A3DS068PGQ5RBN","sp_v3_real2","30BUDKLTXDW5JWA8RNO8LWORS8Q5ER","1","0","2","2","4","1","0","34","1","14","50","172","1","70","2017-06-21 18:22:08","9683"
"A3EHI7J2E5DSJK","sp_v3_real2","3WAKVUDHUWH1VWLD5GIANYOQ52F7UP","0","1","4","4","5","1","0","13","1","3","118","479","0","-16","2017-06-21 18:22:09","9684"
