"subject","version","assignmentId","role","orderCond","s","c","p","oppType","choice","globalRound","matchNum","matchRound","score","rt","oppChoice","oppScore","stamp","id"
"AE608VRXK6M2E","sp_v3_pilot2","3QJOXOW4XJS3R3VEJM5U2YZDE33EMD","0","0","1","3","5","2","0","3","0","3","200","1661","0","0","2017-06-21 15:52:32","5462"
"ANTH5IGN5CHN6","sp_v3_pilot2","3M0BCWMB8VX1PCD8DX9RAOVJ984WBM","0","0","3","2","7","2","1","0","0","0","196","3193","1","-5","2017-06-21 15:52:33","5463"
"A2CNXQG6YYHTDF","sp_v3_pilot2","39O5D9O87TTN8J3QHDUKGBQ4T09C32","0","0","1","4","3","1","0","33","2","2","200","365","0","0","2017-06-21 15:52:34","5464"
"A3RO90I4O8I0O2","sp_v3_pilot2","338JKRMM260E9CDRCKNVEA1QC26HAC","1","1","2","2","6","2","0","45","2","7","216","80","1","-40","2017-06-21 15:52:37","5465"
"A2BVUVKIS50IR8","sp_v3_pilot2","379J5II41OHJLLDTJA4F2LKOEYDELB","0","0","1","1","3","1","0","49","2","18","180","940","0","20","2017-06-21 15:52:37","5466"
"A1EKUJGMFDI1RZ","sp_v3_pilot2","3Q8GYXHFEP3QMYQUVWIDV8OO7W0C5S","1","1","2","4","6","2","0","38","2","10","166","271","1","4","2017-06-21 15:52:39","5467"
"A2CNXQG6YYHTDF","sp_v3_pilot2","39O5D9O87TTN8J3QHDUKGBQ4T09C32","0","0","1","4","3","1","0","34","2","3","200","365","0","0","2017-06-21 15:52:42","5468"
"A3RO90I4O8I0O2","sp_v3_pilot2","338JKRMM260E9CDRCKNVEA1QC26HAC","1","1","2","2","6","2","0","46","2","8","214","142","1","-38","2017-06-21 15:52:43","5469"
"AE608VRXK6M2E","sp_v3_pilot2","3QJOXOW4XJS3R3VEJM5U2YZDE33EMD","0","0","1","3","5","2","0","4","0","4","200","700","0","0","2017-06-21 15:52:43","5470"
"ANTH5IGN5CHN6","sp_v3_pilot2","3M0BCWMB8VX1PCD8DX9RAOVJ984WBM","0","0","3","2","7","2","1","1","0","1","192","1665","1","-10","2017-06-21 15:52:43","5471"
"A2BVUVKIS50IR8","sp_v3_pilot2","379J5II41OHJLLDTJA4F2LKOEYDELB","0","0","1","1","3","1","0","50","2","19","180","1686","0","20","2017-06-21 15:52:45","5472"
"A1EKUJGMFDI1RZ","sp_v3_pilot2","3Q8GYXHFEP3QMYQUVWIDV8OO7W0C5S","1","1","2","4","6","2","0","39","2","11","164","280","1","6","2017-06-21 15:52:46","5473"
"A3RO90I4O8I0O2","sp_v3_pilot2","338JKRMM260E9CDRCKNVEA1QC26HAC","1","1","2","2","6","2","0","47","2","9","212","63","1","-36","2017-06-21 15:52:49","5474"
"A2CNXQG6YYHTDF","sp_v3_pilot2","39O5D9O87TTN8J3QHDUKGBQ4T09C32","0","0","1","4","3","1","0","35","2","4","200","428","0","0","2017-06-21 15:52:49","5475"
"ANTH5IGN5CHN6","sp_v3_pilot2","3M0BCWMB8VX1PCD8DX9RAOVJ984WBM","0","0","3","2","7","2","1","2","0","2","188","960","1","-15","2017-06-21 15:52:50","5476"
"AE608VRXK6M2E","sp_v3_pilot2","3QJOXOW4XJS3R3VEJM5U2YZDE33EMD","0","0","1","3","5","2","0","5","0","5","200","931","0","0","2017-06-21 15:52:51","5477"
"A1EKUJGMFDI1RZ","sp_v3_pilot2","3Q8GYXHFEP3QMYQUVWIDV8OO7W0C5S","1","1","2","4","6","2","0","40","2","12","162","90","1","8","2017-06-21 15:52:52","5478"
"A3RO90I4O8I0O2","sp_v3_pilot2","338JKRMM260E9CDRCKNVEA1QC26HAC","1","1","2","2","6","2","0","48","2","10","210","100","1","-34","2017-06-21 15:52:54","5479"
"A2CNXQG6YYHTDF","sp_v3_pilot2","39O5D9O87TTN8J3QHDUKGBQ4T09C32","0","0","1","4","3","1","0","36","2","5","200","322","0","0","2017-06-21 15:52:56","5480"
"ANTH5IGN5CHN6","sp_v3_pilot2","3M0BCWMB8VX1PCD8DX9RAOVJ984WBM","0","0","3","2","7","2","1","3","0","3","184","471","1","-20","2017-06-21 15:52:57","5481"
"A1EKUJGMFDI1RZ","sp_v3_pilot2","3Q8GYXHFEP3QMYQUVWIDV8OO7W0C5S","1","1","2","4","6","2","0","41","2","13","160","137","1","10","2017-06-21 15:52:58","5482"
"AE608VRXK6M2E","sp_v3_pilot2","3QJOXOW4XJS3R3VEJM5U2YZDE33EMD","0","0","1","3","5","2","0","6","0","6","200","766","0","0","2017-06-21 15:52:58","5483"
"A3RO90I4O8I0O2","sp_v3_pilot2","338JKRMM260E9CDRCKNVEA1QC26HAC","1","1","2","2","6","2","0","49","2","11","208","952","1","-32","2017-06-21 15:53:01","5484"
"A2CNXQG6YYHTDF","sp_v3_pilot2","39O5D9O87TTN8J3QHDUKGBQ4T09C32","0","0","1","4","3","1","0","37","2","6","200","589","0","0","2017-06-21 15:53:03","5485"
