"subject","version","assignmentId","role","stealCond","punCond","oppType","choice","globalRound","matchNum","matchRound","score","rt","oppChoice","oppScore","stamp","id"
"A2MUCL20GTQJA0","sp_v2_s","3VBEN272MK049C4A9ER4EAJVHSWSGI","0","1","-1","2","0","14","2","1","83","566","0","-13","2017-05-30 00:25:47","13139"
"A1MN2PWAV10VAB","sp_v2_s","3OS4RQUCR9GZEQRDN8ZR609JCPAFB5","1","0","-1","2","0","7","0","7","92","606","1","8","2017-05-30 00:25:48","13142"
"A20HZD952T4B2O","sp_v2_s","3YHH42UU5BGKUVYZB350HWIKIHZL0U","0","0","-1","2","0","6","0","6","97","2528","0","-2","2017-05-30 00:25:50","13143"
"A40LU73SS18IW","sp_v2_s","3S4AW7T80BJ1TJG0U4S2TZ8XZTG4LU","0","1","-1","2","0","24","2","6","97","2398","0","-2","2017-05-30 00:25:53","13145"
"A2MUCL20GTQJA0","sp_v2_s","3VBEN272MK049C4A9ER4EAJVHSWSGI","0","1","-1","2","0","15","2","2","83","646","0","-13","2017-05-30 00:25:54","13147"
"A1MN2PWAV10VAB","sp_v2_s","3OS4RQUCR9GZEQRDN8ZR609JCPAFB5","1","0","-1","2","0","8","0","8","91","526","1","9","2017-05-30 00:25:56","13149"
"A2MUCL20GTQJA0","sp_v2_s","3VBEN272MK049C4A9ER4EAJVHSWSGI","0","1","-1","2","0","16","2","3","83","479","0","-13","2017-05-30 00:26:01","13153"
"A40LU73SS18IW","sp_v2_s","3S4AW7T80BJ1TJG0U4S2TZ8XZTG4LU","0","1","-1","2","0","25","2","7","97","895","0","-2","2017-05-30 00:26:01","13154"
"A20HZD952T4B2O","sp_v2_s","3YHH42UU5BGKUVYZB350HWIKIHZL0U","0","0","-1","2","0","7","0","7","97","2085","0","-2","2017-05-30 00:26:03","13156"
"A2MUCL20GTQJA0","sp_v2_s","3VBEN272MK049C4A9ER4EAJVHSWSGI","0","1","-1","2","0","17","2","4","83","335","0","-13","2017-05-30 00:26:08","13159"
"A1MN2PWAV10VAB","sp_v2_s","3OS4RQUCR9GZEQRDN8ZR609JCPAFB5","1","0","-1","2","0","9","0","9","90","2380","1","10","2017-05-30 00:26:08","13160"
"A40LU73SS18IW","sp_v2_s","3S4AW7T80BJ1TJG0U4S2TZ8XZTG4LU","0","1","-1","2","0","26","2","8","97","2086","0","-2","2017-05-30 00:26:10","13162"
"A1MN2PWAV10VAB","sp_v2_s","3OS4RQUCR9GZEQRDN8ZR609JCPAFB5","1","0","-1","2","0","10","0","10","89","462","1","11","2017-05-30 00:26:15","13166"
"A40LU73SS18IW","sp_v2_s","3S4AW7T80BJ1TJG0U4S2TZ8XZTG4LU","0","1","-1","2","0","27","2","9","97","2109","0","-2","2017-05-30 00:26:20","13169"
"A1MN2PWAV10VAB","sp_v2_s","3OS4RQUCR9GZEQRDN8ZR609JCPAFB5","1","0","-1","2","0","11","0","11","88","524","1","12","2017-05-30 00:26:21","13170"
"A2MUCL20GTQJA0","sp_v2_s","3VBEN272MK049C4A9ER4EAJVHSWSGI","0","1","-1","2","0","18","2","5","83","6949","0","-13","2017-05-30 00:26:22","13171"
