"subject","version","assignmentId","role","punCostly","oppPersistent","choice","globalRound","matchNum","matchRound","score","rt","oppChoice","oppScore","stamp","id"
"A3QAHF4UUBM7ZO","sp_v1","3AZHRG4CU4L3ER8A5X10LAO3IQ730N","1","0","1","1","6","0","6","323","3338","1","-140","2017-05-26 17:31:03","203"
"A3QAHF4UUBM7ZO","sp_v1","3AZHRG4CU4L3ER8A5X10LAO3IQ730N","1","0","1","1","7","0","7","312","1561","1","-160","2017-05-26 17:31:12","204"
"A2BW6WD7LZ9EGV","sp_v1","39JEC7537U27KS591N0QZ6INIZYCVN","1","0","1","0","0","0","0","390","2421","1","10","2017-05-26 17:31:13","205"
"A3QAHF4UUBM7ZO","sp_v1","3AZHRG4CU4L3ER8A5X10LAO3IQ730N","1","0","1","1","8","0","8","301","478","1","-180","2017-05-26 17:31:19","206"
"A2BW6WD7LZ9EGV","sp_v1","39JEC7537U27KS591N0QZ6INIZYCVN","1","0","1","0","1","0","1","380","1000","1","20","2017-05-26 17:31:21","207"
"A3QAHF4UUBM7ZO","sp_v1","3AZHRG4CU4L3ER8A5X10LAO3IQ730N","1","0","1","1","9","0","9","290","3778","1","-200","2017-05-26 17:31:29","208"
"A2BW6WD7LZ9EGV","sp_v1","39JEC7537U27KS591N0QZ6INIZYCVN","1","0","1","0","2","0","2","370","823","1","30","2017-05-26 17:31:29","209"
"A2BW6WD7LZ9EGV","sp_v1","39JEC7537U27KS591N0QZ6INIZYCVN","1","0","1","0","3","0","3","360","391","1","40","2017-05-26 17:31:36","210"
"A3QAHF4UUBM7ZO","sp_v1","3AZHRG4CU4L3ER8A5X10LAO3IQ730N","1","0","1","1","10","0","10","279","1331","1","-220","2017-05-26 17:31:37","211"
"A2BW6WD7LZ9EGV","sp_v1","39JEC7537U27KS591N0QZ6INIZYCVN","1","0","1","0","4","0","4","350","413","1","50","2017-05-26 17:31:43","212"
"A3QAHF4UUBM7ZO","sp_v1","3AZHRG4CU4L3ER8A5X10LAO3IQ730N","1","0","1","1","11","0","11","268","1035","1","-240","2017-05-26 17:31:45","213"
"A2BW6WD7LZ9EGV","sp_v1","39JEC7537U27KS591N0QZ6INIZYCVN","1","0","1","0","5","0","5","340","56","1","60","2017-05-26 17:31:49","214"
"A2BW6WD7LZ9EGV","sp_v1","39JEC7537U27KS591N0QZ6INIZYCVN","1","0","1","0","6","0","6","330","176","1","70","2017-05-26 17:31:55","215"
"A3QAHF4UUBM7ZO","sp_v1","3AZHRG4CU4L3ER8A5X10LAO3IQ730N","1","0","1","1","12","0","12","257","1569","1","-260","2017-05-26 17:31:55","216"
"A2BW6WD7LZ9EGV","sp_v1","39JEC7537U27KS591N0QZ6INIZYCVN","1","0","1","0","7","0","7","320","54","1","80","2017-05-26 17:32:01","217"
"A3QAHF4UUBM7ZO","sp_v1","3AZHRG4CU4L3ER8A5X10LAO3IQ730N","1","0","1","1","13","0","13","246","1067","1","-280","2017-05-26 17:32:06","218"
"A2BW6WD7LZ9EGV","sp_v1","39JEC7537U27KS591N0QZ6INIZYCVN","1","0","1","0","8","0","8","310","554","1","90","2017-05-26 17:32:08","219"
"A3QAHF4UUBM7ZO","sp_v1","3AZHRG4CU4L3ER8A5X10LAO3IQ730N","1","0","1","1","14","0","14","235","1108","1","-300","2017-05-26 17:32:13","220"
"A2BW6WD7LZ9EGV","sp_v1","39JEC7537U27KS591N0QZ6INIZYCVN","1","0","1","0","9","0","9","300","56","1","100","2017-05-26 17:32:14","221"
"A2BW6WD7LZ9EGV","sp_v1","39JEC7537U27KS591N0QZ6INIZYCVN","1","0","1","0","10","0","10","290","119","1","110","2017-05-26 17:32:20","222"
"A2BW6WD7LZ9EGV","sp_v1","39JEC7537U27KS591N0QZ6INIZYCVN","1","0","1","0","11","0","11","280","16","1","120","2017-05-26 17:32:26","223"
"A2BW6WD7LZ9EGV","sp_v1","39JEC7537U27KS591N0QZ6INIZYCVN","1","0","1","0","12","0","12","270","92","1","130","2017-05-26 17:32:31","224"
"A3QAHF4UUBM7ZO","sp_v1","3AZHRG4CU4L3ER8A5X10LAO3IQ730N","0","0","0","0","15","1","0","235","1479","0","-300","2017-05-26 17:32:35","225"
"A2BW6WD7LZ9EGV","sp_v1","39JEC7537U27KS591N0QZ6INIZYCVN","1","0","1","0","13","0","13","260","415","1","140","2017-05-26 17:32:38","226"
"A3QAHF4UUBM7ZO","sp_v1","3AZHRG4CU4L3ER8A5X10LAO3IQ730N","0","0","0","0","16","1","1","235","1039","0","-300","2017-05-26 17:32:43","227"
"A2BW6WD7LZ9EGV","sp_v1","39JEC7537U27KS591N0QZ6INIZYCVN","1","0","1","0","14","0","14","250","174","1","150","2017-05-26 17:32:44","228"
"A3QAHF4UUBM7ZO","sp_v1","3AZHRG4CU4L3ER8A5X10LAO3IQ730N","0","0","0","0","17","1","2","235","444","0","-300","2017-05-26 17:32:50","229"
"A3QAHF4UUBM7ZO","sp_v1","3AZHRG4CU4L3ER8A5X10LAO3IQ730N","0","0","0","0","18","1","3","235","1416","0","-300","2017-05-26 17:32:57","230"
"A2BW6WD7LZ9EGV","sp_v1","39JEC7537U27KS591N0QZ6INIZYCVN","0","0","0","1","15","1","0","230","2113","1","139","2017-05-26 17:32:58","231"
"A2BW6WD7LZ9EGV","sp_v1","39JEC7537U27KS591N0QZ6INIZYCVN","0","0","0","1","16","1","1","240","189","0","129","2017-05-26 17:33:04","232"
