"subject","version","assignmentId","role","stealCond","punCond","oppPersistent","choice","globalRound","matchNum","matchRound","score","rt","oppChoice","oppScore","stamp","id"
"A3MMOZDMBZ8K42
","sp_v2","32Q90QCQ1SM81FVBYASENL79NHMEKM","0","0","1","1","0","1","0","1","100","4680","0","0","2017-05-29 18:44:51","1553"
"A3NVSZTO346FN","sp_v2","3UNH76FOCS61X8C5JNHO91RTUYMMYE","1","1","0","1","0","3","0","3","89","653","1","-4","2017-05-29 18:44:51","1554"
"AGDJB8B8CDZ71","sp_v2","3GU1KF0O4I2B53G71BVWIUNNEUFBPK","0","1","0","1","0","6","0","6","100","521","0","0","2017-05-29 18:44:52","1555"
"A3RHGIM99R25Q9","sp_v2","3NQL1CS15R9KNV6EXFIFWXA6LRYYV7","1","0","0","1","0","4","0","4","95","169","1","5","2017-05-29 18:44:52","1556"
"A1X258MWJFEMTW","sp_v2","39ASUFLU6X8ELFUIXT73DFFBJQ1XEU","1","1","0","1","1","1","0","1","95","1413","1","0","2017-05-29 18:44:52","1557"
"A1QEQOI98976S0","sp_v2","3F6HPJW4JD171ZDCU4GG9VSFDL5W2Y","0","0","1","1","1","2","0","2","91","1936","1","-9","2017-05-29 18:44:52","1558"
"A39I0RCEOJLFF5","sp_v2","3IHR8NYAM72RK4VYMWL9AGHH42Z4P8","0","0","1","1","0","0","0","0","100","7818","0","0","2017-05-29 18:44:52","1559"
"A34J6IBB4DGYP1","sp_v2","3N2BF7Y2VQVFBDMG9ND0N1WQ429MHF","0","0","0","1","1","3","0","3","88","2571","1","-8","2017-05-29 18:44:53","1560"
"A13WGKUTP5127J","sp_v2","3GM6G9ZBKNY5GMDB9HUP1KZEFW4MTP","0","0","1","1","1","3","0","3","94","1239","1","-6","2017-05-29 18:44:53","1561"
"A39VDI1CVOMMIN","sp_v2","3YMU66OBIN9FJ3QUYKF5AWCT8GXHG2","1","1","0","1","0","8","0","8","82","550","1","18","2017-05-29 18:44:54","1562"
"AY832D29HUURG
","sp_v2","39ASUFLU6X8ELFUIXT73DFFBJQ1EXB","1","0","0","1","1","9","0","9","80","4341","1","-30","2017-05-29 18:44:54","1563"
